address_id,line_1,line_2,line_3,city,zip_postcode,state_province_county,country,other_address_details
1,020 Orie Canyon,NULL,NULL,North Loyceville,197,Hawaii,USA,NULL
2,1333 Boyle Lane,NULL,NULL,West Sean,937,Illinois,USA,NULL
3,027 Kim Divide Apt. 492,NULL,NULL,Beierview,918,Texas,USA,NULL
4,056 Murphy Stravenue Apt. 600,NULL,NULL,Elinoreport,238,Wisconsin,USA,NULL
5,719 Pfannerstill Ridge Suite 663,NULL,NULL,Meganeland,002,SouthDakota,USA,NULL
6,420 Zieme Oval,NULL,NULL,Corkeryborough,744,Wisconsin,USA,NULL
7,27712 Marks Lake Apt. 752,NULL,NULL,Gleasonshire,182,Maryland,USA,NULL
8,6960 O'Connell Dale Suite 622,NULL,NULL,New Annabellefort,062,Kentucky,USA,NULL
9,18327 Jaime Terrace Suite 343,NULL,NULL,Edmundton,520,Oregon,USA,NULL
10,3069 Garrison Squares,NULL,NULL,Lake Ahmadland,748,Nevada,USA,NULL
11,668 Wilkinson Corners Apt. 992,NULL,NULL,North Jayceton,612,Illinois,USA,NULL
12,11940 Pauline Shoals,NULL,NULL,West Lianafurt,619,Arkansas,USA,NULL
13,39834 Anne Mission Apt. 956,NULL,NULL,North Orlobury,663,Utah,USA,NULL
14,4115 Ebert Fall,NULL,NULL,North Fletcherside,607,Arizona,USA,NULL
15,920 Brayan Harbors,NULL,NULL,Caitlynstad,435,Montana,USA,NULL
16,014 Runte Haven Apt. 870,NULL,NULL,Tressamouth,637,NewYork,USA,NULL
17,654 Fisher Roads,NULL,NULL,Hegmannborough,397,Tennessee,USA,NULL
18,266 Kub Crossing,NULL,NULL,Hintzport,865,Alabama,USA,NULL
19,51391 Dach Parkways Apt. 124,NULL,NULL,Unachester,753,Wisconsin,USA,NULL
20,2451 Wiza Inlet,NULL,NULL,Larkinport,545,NewYork,USA,NULL
