Employee_ID,Role_Code,Employee_Name,Gender_MFU,Date_of_Birth,Other_Details
25,HR,Leo,,1973-02-15 17:16:00,NULL
30,MG,Ebba,,1979-09-20 12:50:15,NULL
38,ED,Stephanie,1,2012-03-30 23:02:28,NULL
55,ED,Harley,,1972-02-18 11:53:30,NULL
57,ED,Armani,,1988-12-08 06:13:33,NULL
71,ED,Gussie,,1973-04-04 21:41:22,NULL
99,ED,Izabella,1,1977-07-04 16:25:21,NULL
123,PT,Hugh,,2010-03-15 00:17:13,NULL
136,ED,Mallie,,1980-12-11 20:28:20,NULL
138,ED,Beatrice,1,2013-04-02 23:55:48,NULL
156,PR,Diego,,1998-05-30 12:54:10,NULL
159,PR,Arno,,2010-06-10 20:36:34,NULL
173,PR,Alene,1,1980-10-14 12:23:10,NULL
181,PR,Ettie,1,1988-08-03 00:11:14,NULL
183,PR,Jeramie,,1993-08-21 05:22:10,NULL
