Performer_ID,Address_ID,Customer_Name,Customer_Phone,Customer_Email_Address,Other_Details
153,124,Shawna,664.495.1939,krogahn@example.com,NULL
211,124,Ashley,893-536-8857,preston45@example.net,NULL
313,39,Oren,1-952-052-6685x28082,ferry.carolina@example.net,NULL
341,110,Issac,08639382978,wisozk.john@example.org,NULL
360,207,Shaniya,472.072.6649x4161,wschroeder@example.org,NULL
376,180,Peyton,905.705.9514,clotilde04@example.net,NULL
379,192,Trudie,782-118-0067,trey88@example.net,NULL
415,110,Gwen,342-389-0010x682,okub@example.org,NULL
433,110,Doyle,547.535.3455,otilia.ortiz@example.net,NULL
448,192,Fritz,858.603.7004,cummings.matteo@example.com,Did not pay
466,374,Tyrique,1-417-019-8634,cokuneva@example.com,NULL
650,15,Keanu,(654)496-1642x31167,hudson.cristobal@example.net,Did not pay
656,148,Dariana,320.705.7190x0354,hbreitenberg@example.com,NULL
798,266,Sid,1-260-605-6483,kellen89@example.com,NULL
808,374,Vernon,+11(1)8172674604,ianderson@example.com,Pay good tips
832,124,Marques,087-833-4617x095,joel24@example.com,NULL
882,207,Destiney,(054)005-5168,jennyfer81@example.com,NULL
904,314,Jeanie,323-787-3435x31522,anderson34@example.net,NULL
954,362,Joannie,1-856-024-7910x2017,chaim10@example.com,NULL
976,19,Elyse,483.180.0168x1288,myrtice.satterfield@example.net,NULL
